model,dataset,term,metric,window_idx,n_windows,prediction_bias_mean,prediction_bias_abs_mean,prediction_bias_std
sundial,Coastal_T_S_15T,long,seasonal_correlation,6,1,-0.05859392627680715,0.05859392627680715,0.0
sundial,Coastal_T_S_15T,long,seasonal_correlation,7,1,0.07875460620578556,0.07875460620578556,0.0
sundial,Coastal_T_S_15T,long,seasonal_correlation,8,1,0.1111634968259162,0.1111634968259162,0.0
sundial,Coastal_T_S_15T,long,seasonal_correlation,9,1,0.0008423431840355322,0.0008423431840355322,0.0
sundial,Coastal_T_S_15T,long,residual_autocorr_lag1,0,1,0.002546320318845996,0.002546320318845996,0.0
sundial,Coastal_T_S_15T,long,residual_autocorr_lag1,1,1,-0.2121424920783796,0.2121424920783796,0.0
sundial,Coastal_T_S_15T,long,residual_autocorr_lag1,10,1,0.17485981734969408,0.17485981734969408,0.0
sundial,Coastal_T_S_15T,long,residual_autocorr_lag1,11,1,0.30641050116718765,0.30641050116718765,0.0
sundial,Coastal_T_S_15T,long,residual_autocorr_lag1,12,1,-0.11929584802093031,0.11929584802093031,0.0
sundial,Coastal_T_S_15T,long,residual_autocorr_lag1,13,1,0.29445934427912124,0.29445934427912124,0.0
sundial,Coastal_T_S_15T,long,residual_autocorr_lag1,14,1,0.8888316497358917,0.8888316497358917,0.0
sundial,Coastal_T_S_15T,long,residual_autocorr_lag1,15,1,0.6055140785014776,0.6055140785014776,0.0
sundial,Coastal_T_S_15T,long,residual_autocorr_lag1,16,1,0.6962407760590685,0.6962407760590685,0.0
sundial,Coastal_T_S_15T,long,residual_autocorr_lag1,17,1,0.3934089268340902,0.3934089268340902,0.0
sundial,Coastal_T_S_15T,long,residual_autocorr_lag1,18,1,0.14615657056944242,0.14615657056944242,0.0
sundial,Coastal_T_S_15T,long,residual_autocorr_lag1,19,1,0.6637276161297843,0.6637276161297843,0.0
sundial,Coastal_T_S_15T,long,residual_autocorr_lag1,2,1,0.08931620054225009,0.08931620054225009,0.0
sundial,Coastal_T_S_15T,long,residual_autocorr_lag1,3,1,-0.23916352685378217,0.23916352685378217,0.0
sundial,Coastal_T_S_15T,long,residual_autocorr_lag1,4,1,0.014759188835887505,0.014759188835887505,0.0
sundial,Coastal_T_S_15T,long,residual_autocorr_lag1,5,1,0.1829374356308908,0.1829374356308908,0.0
sundial,Coastal_T_S_15T,long,residual_autocorr_lag1,6,1,-0.0804288228334813,0.0804288228334813,0.0
sundial,Coastal_T_S_15T,long,residual_autocorr_lag1,7,1,0.026227727989243804,0.026227727989243804,0.0
sundial,Coastal_T_S_15T,long,residual_autocorr_lag1,8,1,0.24974727420132198,0.24974727420132198,0.0
sundial,Coastal_T_S_15T,long,residual_autocorr_lag1,9,1,-0.030741001736647205,0.030741001736647205,0.0
sundial,Coastal_T_S_15T,long,spectral_entropy,0,1,-2551.6070235048387,2551.6070235048387,0.0
sundial,Coastal_T_S_15T,long,spectral_entropy,1,1,-1404.848561917529,1404.848561917529,0.0
sundial,Coastal_T_S_15T,long,spectral_entropy,10,1,-2524.715245527941,2524.715245527941,0.0
sundial,Coastal_T_S_15T,long,spectral_entropy,11,1,-2236.38069940739,2236.38069940739,0.0
sundial,Coastal_T_S_15T,long,spectral_entropy,12,1,-1530.8565026060317,1530.8565026060317,0.0
sundial,Coastal_T_S_15T,long,spectral_entropy,13,1,-1693.9141811366378,1693.9141811366378,0.0
sundial,Coastal_T_S_15T,long,spectral_entropy,14,1,-2195.7443911034416,2195.7443911034416,0.0
sundial,Coastal_T_S_15T,long,spectral_entropy,15,1,-2182.620334716044,2182.620334716044,0.0
sundial,Coastal_T_S_15T,long,spectral_entropy,16,1,-2163.507962637052,2163.507962637052,0.0
sundial,Coastal_T_S_15T,long,spectral_entropy,17,1,-2870.362804276535,2870.362804276535,0.0
