model,dataset,missing_ratio,imputation_method_norm,relative_smape_gain,score_full,score_decile
sundial,Supply_Chain_Location_D,0.2,mean,0.1294089037637211,0.7176073499272043,8
sundial,Supply_Chain_Location_D,0.2,forward,0.1128987387792754,0.5968781834912331,7
sundial,Supply_Chain_Location_D,0.2,linear,0.141050224887169,0.4913110710764054,4
sundial,Supply_Chain_Location_D,0.2,gp_rbf,0.1510603363704069,0.6544050587934049,8
sundial,Supply_Chain_Location_D,0.2,saits,0.1135673328137587,0.5814292397323687,7
sundial,Supply_Chain_Location_D,0.3,mean,0.1444896512984243,0.9733697237826476,9
sundial,Supply_Chain_Location_D,0.3,forward,0.1157077806286005,0.7166200413133343,8
sundial,Supply_Chain_Location_D,0.3,linear,0.1011266896545059,0.6451854839880699,8
sundial,Supply_Chain_Location_D,0.3,gp_rbf,0.17226496028208,0.7827838515980684,9
sundial,Supply_Chain_Location_D,0.3,saits,0.1432838578162288,0.765879155377145,9
sundial,Water_Quality_Darwin_15T,0.1,mean,-0.0505048580449719,1.1113146884146063,10
sundial,Water_Quality_Darwin_15T,0.1,forward,-0.0029141766220184,0.347616600711694,1
sundial,Water_Quality_Darwin_15T,0.1,linear,0.0385294238095367,0.582167860769872,7
sundial,Water_Quality_Darwin_15T,0.1,gp_rbf,0.0078438629335533,0.4790574616748593,4
sundial,Water_Quality_Darwin_15T,0.1,saits,0.0515254676833028,0.5110513206679014,5
sundial,Water_Quality_Darwin_15T,0.2,mean,0.1523656834121438,1.4947998568947574,10
sundial,Water_Quality_Darwin_15T,0.2,forward,-0.0996326780843654,0.3355193585964131,1
sundial,Water_Quality_Darwin_15T,0.2,linear,0.0126395646970581,0.3019702641986629,1
sundial,Water_Quality_Darwin_15T,0.2,gp_rbf,-0.0464510760275171,0.4072736552233025,2
sundial,Water_Quality_Darwin_15T,0.2,saits,0.0482524238399208,0.3786420446781912,2
sundial,Water_Quality_Darwin_15T,0.3,mean,0.2495990879498553,2.122301101788408,10
sundial,Water_Quality_Darwin_15T,0.3,forward,-0.0433009910791798,0.5723575717470321,6
sundial,Water_Quality_Darwin_15T,0.3,linear,-0.0643602423286097,0.3618261856814135,1
