dataset,term,ratio_code,imputation_method,window_idx,distribution_gap,smape,smape_diff_vs_clean
Coastal_T_S_H,long,010,backward,1,1.7131751433879423,108.98904980749752,-1.1962468399220398
Coastal_T_S_H,long,010,backward,2,1.6440711620508328,106.46431822623732,-0.9151094197504932
Coastal_T_S_H,long,010,backward,3,1.6792530614169587,56.62292883414452,-0.8545084863195171
Coastal_T_S_H,long,010,backward,4,2.2849881028672865,43.871747322849075,2.0333969871981523
Coastal_T_S_H,long,010,backward,5,1.8668993782432517,81.41754696525693,0.07350878324227494
Coastal_T_S_H,long,010,backward,6,1.4337578592635054,200.0,0.0
Coastal_T_S_H,long,010,backward,7,1.5994361402881991,200.0,0.0
Coastal_T_S_H,long,020,backward,0,1.1521063979304589,62.66462943469014,0.36845232491467783
Coastal_T_S_H,long,020,backward,1,1.4822925788551118,109.70274096699329,-0.48255568042627317
Coastal_T_S_H,long,020,backward,2,1.4430277929097923,103.77318189605815,-3.60624574992967
Coastal_T_S_H,long,020,backward,3,1.3553043618827794,61.074314925243876,3.5968776047798414
Coastal_T_S_H,long,020,backward,4,2.100662644435652,39.76710014377452,-2.071250191876402
Coastal_T_S_H,long,020,backward,5,1.9883733694776626,80.97479917597471,-0.3692390060399475
Coastal_T_S_H,long,020,backward,6,1.8033190472748208,200.0,0.0
Coastal_T_S_H,long,020,backward,7,2.193475524295653,200.0,0.0
Coastal_T_S_H,long,030,backward,0,1.2382724270741186,62.873882333206666,0.5777052234312023
Coastal_T_S_H,long,030,backward,1,1.3575377251043348,109.21418449058508,-0.9711121568344794
Coastal_T_S_H,long,030,backward,2,2.0095347596862183,109.42145368566385,2.0420260396760312
Coastal_T_S_H,long,030,backward,3,1.420028070971541,57.89924985319942,0.42181253273538744
Coastal_T_S_H,long,030,backward,4,2.5119463163001674,40.654743491131775,-1.1836068445191472
Coastal_T_S_H,long,030,backward,5,1.9764326697947783,78.36787072538448,-2.9761674566301792
Coastal_T_S_H,long,030,backward,6,1.494706541466455,200.0,0.0
Coastal_T_S_H,long,030,backward,7,1.7287850017021116,200.0,0.0
ETTh1,long,010,backward,0,1.3734440312808547,22.967412105249043,-0.18282266369469724
ETTh1,long,010,backward,1,2.181980899981493,58.707767137151734,-8.725248531389354
ETTh1,long,010,backward,2,1.2839290516346953,110.21616735175286,-3.603381665158878
ETTh1,long,010,backward,3,1.4415198788394923,120.53793369144144,-4.7591622781248475
ETTh1,long,010,backward,4,1.53641834103114,159.1300778497254,0.5364733370346357
