dataset,term,ratio_code,imputation_method,window_idx,distribution_gap,smape,smape_diff_vs_clean,prediction_mode,y_value
Coastal_T_S_15T,long,020,linear,1,1.3587265867617864,0.3155400030569513,0.00030896927259571605,linear,0.00030896927259571605
Coastal_T_S_15T,long,020,linear,2,1.4345919472155602,0.21063172702193272,-0.0062855413341748045,linear,-0.0062855413341748045
Coastal_T_S_15T,long,020,linear,3,1.6674045734399778,0.11833250675341188,0.0026216237378440255,linear,0.0026216237378440255
Coastal_T_S_15T,long,020,linear,4,1.382354678442324,0.21075255434080306,0.04533355603666003,linear,0.04533355603666003
Coastal_T_S_15T,long,020,linear,5,1.8277953192148337,0.10727370187490057,-0.0672766389959712,linear,-0.0672766389959712
Coastal_T_S_15T,long,020,linear,6,1.7227142904100006,0.13288593599103704,-0.06464455772190478,linear,-0.06464455772190478
Coastal_T_S_15T,long,020,linear,7,1.5684459553457677,0.2811861032126939,0.0059649499427504304,linear,0.0059649499427504304
Coastal_T_S_15T,long,020,linear,8,2.1549054078951673,0.19623186255068886,0.0009130264443318603,linear,0.0009130264443318603
Coastal_T_S_15T,long,020,linear,9,1.8533162380365455,0.23575084166483173,-0.005206486449306935,linear,-0.005206486449306935
Coastal_T_S_15T,long,020,linear,10,1.6488084173083672,0.15686288097667825,0.00010032934474873967,linear,0.00010032934474873967
Coastal_T_S_15T,long,020,linear,11,1.545703896433701,0.13857690858248062,-0.019198548787600023,linear,-0.019198548787600023
Coastal_T_S_15T,long,020,linear,12,1.5867914453124903,0.08433662915236756,0.0024156634404653154,linear,0.0024156634404653154
Coastal_T_S_15T,long,020,linear,13,1.9260124460622616,0.29845992419877915,-0.04911710943940745,linear,-0.04911710943940745
Coastal_T_S_15T,long,020,linear,14,1.61781453953929,0.24552034078280577,-0.0014609176623277265,linear,-0.0014609176623277265
Coastal_T_S_15T,long,020,linear,15,1.8895306951289892,0.08483447455252432,-0.006636103800552656,linear,-0.006636103800552656
Coastal_T_S_15T,long,020,linear,16,1.7155866496889314,0.18013098566291197,-0.0008199834218147184,linear,-0.0008199834218147184
Coastal_T_S_15T,long,020,linear,17,1.6304871887272157,0.15427358441145395,9.897362689612055e-05,linear,9.897362689612055e-05
Coastal_T_S_15T,long,020,linear,18,1.3926410857497942,0.22470834590616298,-0.0020465214430615553,linear,-0.0020465214430615553
Coastal_T_S_15T,long,020,linear,19,1.863736576096788,0.3333619440525315,0.006964001352035565,linear,0.006964001352035565
Coastal_T_S_15T,long,030,linear,0,1.519351571469462,0.2860850174360646,0.04408903103075079,linear,0.04408903103075079
Coastal_T_S_15T,long,030,linear,1,1.4325202091039388,0.18738595220339768,-0.1278450815809579,linear,-0.1278450815809579
Coastal_T_S_15T,long,030,linear,2,1.3354335105529032,0.21803446311058922,0.0011171947544816874,linear,0.0011171947544816874
Coastal_T_S_15T,long,030,linear,3,1.1991244814150643,0.1083277358925688,-0.007383147122999048,linear,-0.007383147122999048
Coastal_T_S_15T,long,030,linear,4,1.756716494728044,0.17629578364808046,0.010876785343937434,linear,0.010876785343937434
Coastal_T_S_15T,long,030,linear,5,1.5841709803622113,0.12526626200563545,-0.04928407886523631,linear,-0.04928407886523631
Coastal_T_S_15T,long,030,linear,6,1.7718184779799517,0.16334944006451874,-0.03418105364842308,linear,-0.03418105364842308
Coastal_T_S_15T,long,030,linear,7,1.7368833809730104,0.29494708072275316,0.01972592745280971,linear,0.01972592745280971
Coastal_T_S_15T,long,030,linear,8,1.9783161599681305,0.19317642368078758,-0.0021424124255694232,linear,-0.0021424124255694232
Coastal_T_S_15T,long,030,linear,9,1.8236267189924884,0.22578150049034543,-0.015175827623793242,linear,-0.015175827623793242
Coastal_T_S_15T,long,030,linear,10,1.4369071907116415,0.15786919086411277,0.0011066392321832652,linear,0.0011066392321832652
Coastal_T_S_15T,long,030,linear,11,1.8518194055019945,0.17148983543697147,0.013714378066890826,linear,0.013714378066890826
Coastal_T_S_15T,long,030,linear,12,1.830097232539243,0.08013252000417526,-0.0017884457077269877,linear,-0.0017884457077269877
Coastal_T_S_15T,long,030,linear,13,1.5819098017170592,0.26406559434797316,-0.08351143929021343,linear,-0.08351143929021343
Coastal_T_S_15T,long,030,linear,14,1.8041388453924856,0.23824074946079388,-0.008740508984339618,linear,-0.008740508984339618
Coastal_T_S_15T,long,030,linear,15,1.806108703324308,0.0931312334273479,0.0016606550742709197,linear,0.0016606550742709197
Coastal_T_S_15T,long,030,linear,16,1.8135774936064255,0.1782214064431647,-0.002729562641561989,linear,-0.002729562641561989
Coastal_T_S_15T,long,030,linear,17,2.125773617616162,0.15511031718185203,0.0009357063972942059,linear,0.0009357063972942059
