model,dataset,method,missing_ratio,mse_change_pct,class
Chronos-2,ETTh1,saits,0.1,-5.176512436686088,strictly increasing
Chronos-2,ETTh1,saits,0.2,0.7882516815684835,strictly increasing
Chronos-2,ETTh1,saits,0.3,26.077045352204376,strictly increasing
Chronos-2,ETTh2,backward,0.1,-4.348955331923395,non-monotonic
Chronos-2,ETTh2,backward,0.2,3.3687127602379463,non-monotonic
Chronos-2,ETTh2,backward,0.3,0.3625317237598295,non-monotonic
Chronos-2,ETTh2,forward,0.1,1.2271501378808491,strictly increasing
Chronos-2,ETTh2,forward,0.2,3.2615726065273165,strictly increasing
Chronos-2,ETTh2,forward,0.3,8.436084115094562,strictly increasing
Chronos-2,ETTh2,gp_rbf,0.1,-6.258227896433493,strictly increasing
Chronos-2,ETTh2,gp_rbf,0.2,5.77677569341403,strictly increasing
Chronos-2,ETTh2,gp_rbf,0.3,5.985909363126613,strictly increasing
Chronos-2,ETTh2,kalman_arima,0.1,6.919277301944375,strictly decreasing
Chronos-2,ETTh2,kalman_arima,0.2,1.7605962564047406,strictly decreasing
Chronos-2,ETTh2,kalman_arima,0.3,-0.4003055965585844,strictly decreasing
Chronos-2,ETTh2,kalman_struct,0.1,10.59519048060852,non-monotonic
Chronos-2,ETTh2,kalman_struct,0.2,5.998251663694738,non-monotonic
Chronos-2,ETTh2,kalman_struct,0.3,13.63100395205806,non-monotonic
Chronos-2,ETTh2,linear,0.1,-1.2121762793917747,strictly increasing
Chronos-2,ETTh2,linear,0.2,2.4979129051153386,strictly increasing
Chronos-2,ETTh2,linear,0.3,2.592498336058478,strictly increasing
Chronos-2,ETTh2,mean,0.1,8.829475012619195,non-monotonic
Chronos-2,ETTh2,mean,0.2,5.568656245559309,non-monotonic
Chronos-2,ETTh2,mean,0.3,10.126423191551744,non-monotonic
Chronos-2,ETTh2,saits,0.1,-5.49949554215779,strictly increasing
Chronos-2,ETTh2,saits,0.2,1.4403682158850875,strictly increasing
Chronos-2,ETTh2,saits,0.3,3.508075815022886,strictly increasing
Chronos-2,EWELD_Load_15T,backward,0.1,9.784454895702202,strictly increasing
Chronos-2,EWELD_Load_15T,backward,0.2,20.88574770330871,strictly increasing
Chronos-2,EWELD_Load_15T,backward,0.3,77.57205014846352,strictly increasing
Chronos-2,EWELD_Load_15T,forward,0.1,32.56281737497119,non-monotonic
Chronos-2,EWELD_Load_15T,forward,0.2,56.13650298873847,non-monotonic
Chronos-2,EWELD_Load_15T,forward,0.3,32.919189008389274,non-monotonic
Chronos-2,EWELD_Load_15T,gp_rbf,0.1,11.738037696819383,strictly increasing
Chronos-2,EWELD_Load_15T,gp_rbf,0.2,36.47712053247139,strictly increasing
Chronos-2,EWELD_Load_15T,gp_rbf,0.3,71.21192166587521,strictly increasing
Chronos-2,EWELD_Load_15T,kalman_arima,0.1,12.581946018781288,strictly increasing
Chronos-2,EWELD_Load_15T,kalman_arima,0.2,24.54607001118604,strictly increasing
Chronos-2,EWELD_Load_15T,kalman_arima,0.3,61.573097857205425,strictly increasing
Chronos-2,EWELD_Load_15T,kalman_struct,0.1,5.023579256349919,non-monotonic
Chronos-2,EWELD_Load_15T,kalman_struct,0.2,4.7650253826620155,non-monotonic
Chronos-2,EWELD_Load_15T,kalman_struct,0.3,20.926274099536926,non-monotonic
Chronos-2,EWELD_Load_15T,linear,0.1,13.683188226845358,strictly increasing
Chronos-2,EWELD_Load_15T,linear,0.2,30.616695808076226,strictly increasing
Chronos-2,EWELD_Load_15T,linear,0.3,39.694839524282635,strictly increasing
Chronos-2,EWELD_Load_15T,mean,0.1,8.535266073902283,strictly increasing
Chronos-2,EWELD_Load_15T,mean,0.2,20.922165848013343,strictly increasing
Chronos-2,EWELD_Load_15T,mean,0.3,75.92189653727982,strictly increasing
Chronos-2,EWELD_Load_15T,saits,0.1,0.4983841419180741,strictly increasing
Chronos-2,EWELD_Load_15T,saits,0.2,26.337580436953377,strictly increasing
Chronos-2,EWELD_Load_15T,saits,0.3,45.81562743852226,strictly increasing
Chronos-2,Finland_Traffic_15T,backward,0.1,52.77566326693219,strictly increasing
Chronos-2,Finland_Traffic_15T,backward,0.2,92.62178659714576,strictly increasing
Chronos-2,Finland_Traffic_15T,backward,0.3,216.39734355584332,strictly increasing
Chronos-2,Finland_Traffic_15T,forward,0.1,31.85817232288317,strictly increasing
Chronos-2,Finland_Traffic_15T,forward,0.2,140.55711971580058,strictly increasing
Chronos-2,Finland_Traffic_15T,forward,0.3,254.55584777903874,strictly increasing
Chronos-2,Finland_Traffic_15T,gp_rbf,0.1,17.396897851752687,strictly increasing
Chronos-2,Finland_Traffic_15T,gp_rbf,0.2,113.92989875692099,strictly increasing
Chronos-2,Finland_Traffic_15T,gp_rbf,0.3,219.52846994152387,strictly increasing
Chronos-2,Finland_Traffic_15T,kalman_arima,0.1,21.120340431418196,strictly increasing
Chronos-2,Finland_Traffic_15T,kalman_arima,0.2,141.49963411839116,strictly increasing
Chronos-2,Finland_Traffic_15T,kalman_arima,0.3,245.99324693980492,strictly increasing
Chronos-2,Finland_Traffic_15T,kalman_struct,0.1,26.58219767273361,strictly increasing
Chronos-2,Finland_Traffic_15T,kalman_struct,0.2,78.77488527247068,strictly increasing
Chronos-2,Finland_Traffic_15T,kalman_struct,0.3,115.26340173965382,strictly increasing
Chronos-2,Finland_Traffic_15T,linear,0.1,25.048539040430573,strictly increasing
Chronos-2,Finland_Traffic_15T,linear,0.2,105.43791135315641,strictly increasing
Chronos-2,Finland_Traffic_15T,linear,0.3,151.97983300483634,strictly increasing
Chronos-2,Finland_Traffic_15T,mean,0.1,19.63179249960508,strictly increasing
Chronos-2,Finland_Traffic_15T,mean,0.2,134.03866823488144,strictly increasing
Chronos-2,Finland_Traffic_15T,mean,0.3,245.4939682211096,strictly increasing
Chronos-2,Finland_Traffic_15T,saits,0.1,13.859381627097594,strictly increasing
Chronos-2,Finland_Traffic_15T,saits,0.2,82.1001678450613,strictly increasing
Chronos-2,Finland_Traffic_15T,saits,0.3,99.07749596359955,strictly increasing
Chronos-2,NE_China_Wind_H,backward,0.1,-10.06215615468788,strictly increasing
Chronos-2,NE_China_Wind_H,backward,0.2,7.31623890625612,strictly increasing
Chronos-2,NE_China_Wind_H,backward,0.3,13.89150115101101,strictly increasing
Chronos-2,NE_China_Wind_H,forward,0.1,1.145802795225905,non-monotonic
Chronos-2,NE_China_Wind_H,forward,0.2,-15.752450551020727,non-monotonic
Chronos-2,NE_China_Wind_H,forward,0.3,4.426899585748094,non-monotonic
Chronos-2,NE_China_Wind_H,gp_rbf,0.1,-8.214019761919113,strictly increasing
Chronos-2,NE_China_Wind_H,gp_rbf,0.2,-3.282081988534765,strictly increasing
Chronos-2,NE_China_Wind_H,gp_rbf,0.3,7.329588882634443,strictly increasing
Chronos-2,NE_China_Wind_H,kalman_arima,0.1,-6.830346581100448,non-monotonic
Chronos-2,NE_China_Wind_H,kalman_arima,0.2,-8.28863809797479,non-monotonic
Chronos-2,NE_China_Wind_H,kalman_arima,0.3,14.776827431614405,non-monotonic
Chronos-2,NE_China_Wind_H,kalman_struct,0.1,-0.8323545317631001,non-monotonic
Chronos-2,NE_China_Wind_H,kalman_struct,0.2,-1.7362186229487078,non-monotonic
Chronos-2,NE_China_Wind_H,kalman_struct,0.3,10.438241611463765,non-monotonic
Chronos-2,NE_China_Wind_H,linear,0.1,-0.3385108980150206,strictly increasing
