基础模型,数据集,缺失率,填补方法,填补误差指标(MSE),填补误差指标(SMAPE),预测误差指标（MSE[0.5]）,预测误差指标（sMAPE[0.5]）,回顾窗口指标,,,,,
,,,,,,,,趋势强度,趋势线性度,季节强度,季节相关性,残差自相关性,谱熵
,,,后向,,781.11,0.218018358,0.561452303,0.000762484,0.386013357,0.199935022,0.661395347,29033.10322,
,,,线性,,735.8636111,0.220088314,0.559586153,0.000782054,0.395126745,0.215269343,0.658417962,28903.22624,
,,0.2,均值,,717.0295833,0.295151706,0.058002463,0.000791669,0.012117603,0.12032837,0.853483816,46459.13399,
,,,前项,,836.3798611,0.213348762,0.526257735,0.000843276,0.343396162,0.235746805,0.712837757,28862.34755,
,,,后向,,809.0936111,0.213572286,0.582539245,0.000802058,0.412382036,0.233931251,0.660762564,28869.34665,
,,,线性,,806.6795139,0.212861752,0.574643188,0.000817508,0.391115826,0.224676583,0.664002479,28440.81423,
,,0.3,均值,,595.4883333,0.29688914,0.078615692,0.00060569,0.095848087,0.148622446,0.866121452,47639.77626,
,,,前项,,836.0124306,0.212921465,0.549160162,0.00073833,0.363036058,0.224551571,0.731913422,28681.0798,
,,,后向,,729.3207639,0.222117496,0.55851522,0.000700942,0.342338187,0.231431516,0.741250787,28682.13734,
,,,线性,,810.6473611,0.220546909,0.577278886,0.000872769,0.382888651,0.233379436,0.697896387,28174.51754,
chronos2,Coastal_T_S_H,0,/,,1128.068837,0.337001589,0.371910702,0.00080618,0.177235466,0.019163963,-0.016518992,36063.59963,
,,0.1,均值,,1138.322656,0.382986281,0.363898023,0.000854064,0.158850022,0.022070747,0.010562527,35941.30746,
,,,前项,,1130.065365,0.336950302,0.429582029,0.00077367,0.162005515,0.020417462,0.008125139,35940.5073,
,,,后向,,1133.262587,0.339595498,0.447504334,0.001051515,0.162450191,0.025618302,0.018631199,35957.56262,
,,,线性,,1128.548958,0.336900308,0.408186833,0.000897869,0.166310221,0.021639978,0.006428667,35934.06143,
,,0.2,均值,,979.4876736,0.340546926,0.36030758,0.000873748,0.103930971,0.031217616,0.052168913,35603.0815,
,,,前项,,1131.65217,0.341462453,0.524669659,0.001118215,0.114398809,0.026815137,0.067635825,35294.78541,
,,,后向,,1131.411632,0.339339426,0.458156735,0.000801401,0.106557376,0.03110963,0.037489064,35599.53428,
,,,线性,,1141.519705,0.340909259,0.475652226,0.000906733,0.111341779,0.030987445,0.048529597,35266.62183,
,,0.3,均值,,1056.917535,0.473905351,0.329208449,0.000378812,0.102812064,0.026889215,0.06089991,35483.40241,
,,,前项,,1133.695399,0.352183088,0.501615561,-0.00027187,0.08746657,0.022681701,0.067951971,35409.39156,
,,,后向,,1129.393229,0.342609872,0.493423079,0.001011036,0.096647212,0.023282817,0.035204891,35339.86766,
,,,线性,,1340.534201,0.444129605,0.455579803,0.000347861,0.098039181,0.021711036,0.034652249,35309.53556,
chronos2,current_velocity_15T,0,/,,0.076122504,0.01312439,0.912855943,3.24E-05,0.020826583,0.061445964,0.978605303,-618.1492888,
,,0.1,均值,,0.108020494,0.01556785,0.735752788,3.17E-05,0.013652891,0.03102103,0.978153335,4438.756929,
,,,前项,,0.075791852,0.013572053,0.915771242,3.28E-05,0.021027766,0.046585757,0.981679992,-605.482184,
,,,后向,,0.076350493,0.013324165,0.913571323,0.00003217,0.020048342,0.079218725,0.981168646,-655.76436,
,,,线性,,0.079081082,0.013871049,0.91533671,0.000032495,0.020997661,0.058052246,0.983118608,-864.7437537,
,,0.2,均值,,0.138995022,0.018206079,0.546910996,3.26E-05,0.006164504,0.033764093,0.964568614,7586.54656,
,,,前项,,0.086048997,0.013979803,0.911769233,3.17E-05,0.017990595,0.085135,0.977217959,-198.7607005,
,,,后向,,0.07928868,0.013676809,0.918097541,3.24E-05,0.021614112,0.05675275,0.982311513,-187.5020149,
,,,线性,,0.080642254,0.01375112,0.918451921,3.24E-05,0.011539475,0.093369271,0.982941812,-868.9750544,
,,0.3,均值,,0.215050388,0.02402908,0.542450178,2.54E-05,0.130155493,0.057847401,0.95615918,8470.11918,
,,,前项,,0.080886807,0.013879587,0.91383861,3.20E-05,0.016806587,0.038522119,0.979986993,118.5747132,
,,,后向,,0.093287647,0.014579497,0.915911226,3.31E-05,0.01521345,0.039439601,0.977625301,30.77377093,
,,,线性,,0.083277904,0.013878356,0.924266968,3.22E-05,0.005262174,0.040630568,0.979829327,-1330.777808,
chronos2,current_velocity_20T,0,/,,65.21764633,0.032935851,0.559618164,-0.000405306,0.653910554,0.75545012,0.710763437,43475.68576,
,,0.1,均值,,69.89228051,0.034399862,0.533998976,-0.000403103,0.60308943,0.721543394,0.744088903,43224.81629,
,,,前项,,70.04884673,0.034340877,0.558940726,-0.000411415,0.556850999,0.709580036,0.777346521,43257.5062,
,,,后向,,76.87294767,0.03632712,0.551494661,-0.000403637,0.577128946,0.716347371,0.746886406,43241.22997,
,,,线性,,72.94756944,0.0354238,0.580561506,-0.000387555,0.6207921,0.740525536,0.736031705,43115.12492,
,,0.2,均值,,71.29873512,0.034880708,0.460645961,-0.000332049,0.549482878,0.63630942,0.763371728,42964.79653,
,,,前项,,75.10106647,0.03540538,0.531069875,-0.000414127,0.447965872,0.587486005,0.816599065,42995.83183,
,,,后向,,89.09414683,0.037524526,0.569927055,-0.000414029,0.476583223,0.598848644,0.805403615,43004.53881,
,,,线性,,67.31989707,0.033501459,0.600446388,-0.000421226,0.565283148,0.687482192,0.762276389,42645.02468,
,,0.3,均值,,84.37124256,0.037832315,0.443322557,-0.000329683,0.502712212,0.577269962,0.786507731,42642.06427,
,,,前项,,81.58480283,0.037021358,0.613667165,-0.000437969,0.426544752,0.572164891,0.820795419,42628.17634,
,,,后向,,85.90339782,0.038276073,0.580289696,-0.00057271,0.404147513,0.546465651,0.818537847,42615.15662,
,,,线性,,77.56435392,0.036347849,0.612558317,-0.000481396,0.499971024,0.658273594,0.799514967,42209.09724,
chronos2,current_velocity_5T,0,/,,0.017010742,0.000922413,0.417528896,5.23E-07,0.972868384,0.095722357,0.951400881,-1313.989289,
,,0.1,均值,,0.019117423,0.001012669,0.232454955,-2.28E-08,0.905092984,0.107765652,0.954094081,5083.143995,
,,,前项,,0.023457319,0.00109512,0.189066952,7.66E-07,0.881250359,0.104403581,0.954460497,6642.365662,
,,,后向,,0.019789607,0.001014188,0.15242364,1.15E-06,0.875258479,0.103545283,0.9628349,6691.094802,
,,,线性,,0.016961297,0.000940179,0.358808935,3.52E-07,0.957840331,0.111729055,0.967723892,-1215.091736,
,,0.2,均值,,0.041128176,0.00151098,0.082083483,4.24E-07,0.747244907,0.120133077,0.954750696,7593.055369,
,,,前项,,0.03648479,0.001408551,0.130988588,-3.50E-07,0.825149111,0.127027563,0.957417898,8567.292796,
,,,后向,,0.033962769,0.001374227,0.119717102,-3.43E-07,0.767028148,0.095904118,0.96272508,8601.280465,
,,,线性,,0.022218454,0.001114152,0.290577679,-4.88E-07,0.940607688,0.106115627,0.980803437,-1373.49724,
,,0.3,均值,,0.073616486,0.002120463,0.061262665,-1.36E-06,0.664677798,0.13913729,0.946237828,9038.633673,
,,,前项,,0.052249307,0.001678831,0.115971619,1.94E-06,0.745069083,0.112461729,0.947686402,10273.01397,
,,,后向,,0.042929637,0.001573581,0.08559977,-2.17E-06,0.749416999,0.146068736,0.952894367,10297.01468,
,,,线性,,0.027120101,0.001257479,0.265602348,-1.15E-06,0.931771173,0.115078093,0.982246102,-1713.332519,
chronos2,current_velocity_H,0,/,,76.16934896,0.036112243,0.61571743,-0.002741158,0.660945058,0.778112742,0.673874698,17392.99492,
,,0.1,均值,,75.44353299,0.036077194,0.616406355,-0.002803342,0.651118815,0.740615655,0.679224091,17337.92961,
,,,前项,,77.15329861,0.036458592,0.630285172,-0.002506589,0.61949316,0.736313266,0.716995152,17351.72261,
,,,后向,,76.00036458,0.036126912,0.628299083,-0.002675838,0.645122784,0.730641963,0.68457965,17338.32354,
,,,线性,,76.10423611,0.036128345,0.641798334,-0.002575998,0.646520847,0.735536347,0.69173219,17320.82031,
,,0.2,均值,,74.32779514,0.035747528,0.553423478,-0.002558828,0.590033353,0.635662887,0.733159377,17234.24522,
,,,前项,,73.17303819,0.035660545,0.644521622,-0.00257424,0.575624561,0.652853568,0.74495132,17258.40041,
,,,后向,,76.20171007,0.036731614,0.644210124,-0.003322114,0.567042341,0.634948528,0.747959046,17262.56997,
,,,线性,,75.48497396,0.035924496,0.628967854,-0.00296598,0.568787909,0.644943976,0.743360592,17186.90089,
