基础模型,数据集,缺失率,填补方法,填补误差指标(SMAPE),预测误差指标（MSE[0.5]）,预测误差指标（sMAPE[0.5]）,回顾窗口指标,,,,,
,,,,,,,趋势强度,趋势线性度,季节强度,季节相关性,残差自相关性,谱熵
,,,kalman_arima,1.721181747,1212.119271,0.429817641,0.453044584,-0.001614094,0.15411873,0.05129411,0.083250692,17293.37797
,,,gp_rbf,0.851538349,1246.410069,0.417195588,0.443865437,-0.001701553,0.142534098,0.043147982,0.078661003,17282.85929
,,,saits,1.098824156,1169.360069,0.399882702,0.443817599,-0.001634183,0.156070831,0.045124599,0.060621721,17286.28004
,,0.2,均值,8.883954614,1151.609462,0.412319099,0.432678842,-0.000740936,0.100948274,0.051841023,0.149605093,17185.64394
,,,前项,2.432929076,1245.295139,0.436442312,0.601859333,-0.001423929,0.111741267,0.051845637,0.142192923,17138.10331
,,,后向,2.319418116,1288.26224,0.438405991,0.531370856,-0.001733628,0.111451383,0.056174149,0.128002166,17104.88923
,,,线性,2.155556438,1247.221094,0.426805539,0.552833562,-0.001676832,0.100721795,0.053074376,0.096635027,17113.33431
,,,kalman_struct,2.990179516,1201.825347,0.430302306,0.68165811,-0.001482259,0.093321566,0.044976162,0.149232472,17149.48792
,,,kalman_arima,2.977870166,1175.003733,0.408989342,0.474322893,-0.001590619,0.101966542,0.044134165,0.117719054,17075.41382
,,,gp_rbf,2.0012403,1209.969271,0.412543973,0.450685865,-0.001546084,0.100401045,0.055352872,0.067654535,17051.1357
,,,saits,2.469025642,1233.695399,0.418103041,0.442870466,-0.001579255,0.103221775,0.06386463,0.103412121,17052.2589
,,0.3,均值,14.504201561,1239.457726,0.498478105,0.400199516,-0.001034822,0.08966326,0.053472835,0.191513066,17201.23634
,,,前项,3.255627336,1261.94592,0.444628652,0.549464685,-0.002183398,0.076829019,0.052798807,0.149538263,17033.38935
,,,后向,3.731844679,1240.213802,0.428635407,0.53980315,-0.001826576,0.089366072,0.048861252,0.085040468,16993.40728
,,,线性,3.070783706,1226.536719,0.446143214,0.51655284,-0.002045088,0.089072063,0.051193311,0.042708708,16916.82547
,,,kalman_struct,4.177084643,1252.021094,0.452059909,0.612898895,-0.001960238,0.086240954,0.045361594,0.104945452,16950.98466
,,,kalman_arima,4.21242319,1183.127344,0.439475848,0.465526728,-0.00177821,0.107303044,0.049297396,0.015842748,16872.20043
,,,gp_rbf,3.143052258,1197.210069,0.419161903,0.453094202,-0.001849541,0.092284208,0.048609731,0.035281356,16881.58394
,,,saits,3.877199134,1194.517014,0.421567961,0.443358722,-0.001683324,0.133328916,0.063404687,0.030376864,16901.9553
sundial,ETTh1,0,/,/,15.23654803,0.34896715,0.88547692,8.35E-05,0.320024908,0.551759829,0.779567152,9984.178955
,,0.1,均值,4.900196663,16.71255787,0.362986835,0.868191015,0.000135768,0.227261707,0.48152269,0.796263999,10195.41347
,,,前项,2.810659409,14.85639612,0.341189304,0.881567401,0.000110058,0.263651049,0.487029095,0.78620941,9915.514499
,,,后向,2.638155995,16.14690249,0.361545772,0.881344955,0.000103697,0.268638281,0.475716812,0.786955621,9914.483421
,,,线性,2.083049528,15.66597801,0.354785563,0.884677144,0.000101871,0.273181176,0.49229206,0.782000551,9867.469141
,,,kalman_struct,3.258270183,15.3921658,0.348626367,0.887758991,9.31E-05,0.264582887,0.483896977,0.787209249,9874.948996
,,,kalman_arima,2.717904804,15.1246412,0.349207745,0.885214943,0.000111891,0.278715419,0.484103433,0.780903152,9868.401844
,,,gp_rbf,2.204918436,16.10483796,0.355681629,0.881388424,0.00010697,0.276721009,0.474302404,0.780954942,9904.482609
,,,saits,2.245016443,15.87152922,0.355882846,0.885527421,0.00010873,0.314484664,0.57260334,0.779522141,9898.527544
,,0.2,均值,10.515769656,18.6371658,0.377196768,0.830098921,0.000132249,0.171779293,0.396221394,0.830892913,10452.3739
,,,前项,5.187197582,18.3435706,0.386944716,0.88665327,7.37E-05,0.235573272,0.395310631,0.800979333,9889.772409
,,,后向,6.239617459,17.80501013,0.373099456,0.881943358,9.93E-05,0.233598074,0.389832393,0.811215822,9886.584788
,,,线性,4.367974774,17.59715278,0.371455802,0.896161363,7.73E-05,0.257570869,0.410816119,0.793768911,9734.33875
,,,kalman_struct,6.478891905,17.46720775,0.37956208,0.900052681,5.66E-05,0.242741097,0.37924641,0.807477468,9750.731785
,,,kalman_arima,6.351994077,18.77503617,0.376107355,0.886678155,0.000102219,0.244754882,0.413894686,0.815550915,9754.60235
,,,gp_rbf,4.448006308,17.87104022,0.377717566,0.875903134,8.28E-05,0.236438685,0.400250036,0.801909932,9844.221428
,,,saits,4.325884708,16.42199219,0.365395172,0.887900902,0.000100882,0.308198109,0.601304836,0.790534843,9808.730417
,,0.3,均值,17.323567549,22.92726273,0.424172906,0.815049334,8.30E-05,0.142737643,0.349138754,0.826280954,10591.88349
,,,前项,8.761585732,18.40218316,0.377877378,0.892363671,9.95E-05,0.220934385,0.358487325,0.810682665,9716.850263
,,,后向,7.710496533,18.09146123,0.379598615,0.887491916,3.35E-05,0.214179664,0.349750136,0.80741477,9684.504338
,,,线性,6.466086002,16.83234664,0.360507383,0.898926737,6.83E-05,0.229057971,0.350645659,0.798902419,9486.890285
,,,kalman_struct,8.49346416,16.9666985,0.366555018,0.905461181,7.49E-05,0.209764273,0.313095715,0.810577506,9493.856287
,,,kalman_arima,8.433255657,17.66288918,0.372015805,0.899388713,7.20E-05,0.263402771,0.377936859,0.806688537,9480.850161
,,,gp_rbf,8.607075556,19.53717159,0.38794603,0.87694102,7.55E-05,0.202878884,0.313420764,0.802488982,9681.687036
,,,saits,7.093522429,16.45872106,0.365651055,0.89743562,6.52E-05,0.344599086,0.709293451,0.787469853,9656.825095
sundial,ETTh2,0,/,/,56.30984954,0.268575078,0.89180765,0.001234796,0.681914689,0.894750946,0.897048701,10129.10946
,,0.1,均值,3.130514594,54.34644676,0.262130692,0.851564114,0.001081926,0.562735953,0.796891673,0.896951816,10865.54467
,,,前项,1.559467634,55.48866898,0.263690977,0.88389973,0.001201779,0.625761048,0.819742154,0.901458224,10243.1916
,,,后向,1.467317277,53.08233796,0.256802323,0.888595879,0.001245224,0.633468294,0.822827324,0.901699171,10233.65878
,,,线性,1.307821933,54.28342593,0.262184833,0.884674596,0.001215233,0.625656701,0.817521837,0.902973426,10109.75803
,,,kalman_struct,2.488598124,61.32381944,0.279463937,0.875146262,0.001181698,0.5716725,0.793096015,0.91651029,10155.12025
,,,kalman_arima,3.064818422,54.03148148,0.261737762,0.854714524,0.001066222,0.56498146,0.78985682,0.909183001,10355.13868
,,,gp_rbf,1.253561207,54.85587384,0.261619728,0.888349219,0.001227503,0.646243924,0.841422669,0.896878385,10189.07304
,,,saits,1.160775616,54.05732639,0.263917095,0.893385191,0.001224082,0.693532955,0.918035212,0.891848999,10116.8164
,,0.2,均值,7.02498215,58.94224537,0.273931478,0.826022895,0.000997369,0.444012613,0.751861799,0.889394747,11250.26177
,,,前项,4.586483439,55.47228009,0.261850179,0.88103231,0.00127294,0.560875498,0.760285749,0.896135332,10250.65863
,,,后向,4.218100913,58.56977431,0.265674032,0.873863288,0.001226416,0.555046386,0.786371352,0.898862531,10266.16802
,,,线性,3.858895651,58.53609375,0.267379603,0.879783712,0.001258684,0.562215472,0.765325822,0.911085564,9880.136853
,,,kalman_struct,6.161706416,57.95461806,0.26724318,0.8725417,0.001286351,0.478567836,0.700981745,0.913633608,9953.811552
,,,kalman_arima,6.996918837,56.7241088,0.267530446,0.829692581,0.001017527,0.447599218,0.756171642,0.905890183,10544.19463
,,,gp_rbf,3.810002383,57.61354745,0.265831053,0.88397192,0.001192077,0.597567952,0.788637524,0.888351478,10316.0504
,,,saits,2.935632833,56.02884838,0.265756613,0.911385363,0.001189951,0.723538709,0.940264007,0.902716337,9979.366801
,,0.3,均值,10.027758964,55.79819444,0.265198274,0.779181997,0.000815894,0.309553064,0.553791386,0.876277236,11678.12324
,,,前项,6.993615564,66.04103588,0.283860655,0.878266061,0.001240903,0.45061195,0.608654481,0.892879324,10544.7056
