基础模型,数据集,缺失率,填补方法,填补误差指标(SMAPE),预测误差指标（MSE[0.5]）,预测误差指标（sMAPE[0.5]）,回顾窗口指标,,,,,,预测窗口指标,,,,,
,,,,,,,趋势强度,趋势线性度,季节强度,季节相关性,残差自相关性,谱熵,趋势强度,趋势线性度,季节强度,季节相关性,残差自相关性,谱熵
,,,后向,1.106545605,565.8311111,0.227758569,0.499963639,0.002462052,0.445267304,0.318280567,0.629889087,8788.943757,0.659075165,-0.002649941,0.932746347,0.776580033,0.724726051,275.6865583
,,,线性,1.230731416,561.0216319,0.22715115,0.505547805,0.002522932,0.453188973,0.31751585,0.60629875,8742.938881,0.669518295,-0.002395121,0.933080668,0.813543123,0.796422807,253.0275875
,,,kalman_struct,1.566437774,560.3957292,0.228117701,0.502777314,0.002538839,0.458053086,0.31511017,0.607506675,8743.990995,0.671122306,-0.002295127,0.926974017,0.801014235,0.649024997,235.2171831
,,,kalman_arima,8.996353292,568.7695833,0.253224962,0.037784323,0.002305236,0.036661166,0.372354059,0.81873637,12673.6673,0.485337614,-0.001730567,0.73124322,0.331057842,0.694635966,1536.726315
,,,gp_rbf,1.713302296,560.29625,0.230135705,0.423656402,0.002059976,0.357316136,0.302735645,0.703769704,8957.984443,0.651379425,-0.001321922,0.945909609,0.79411331,0.638517349,268.6558969
,,,saits,1.348854732,573.811875,0.231251651,0.477167478,0.002057205,0.425041775,0.309784032,0.640239831,8839.683869,0.699860003,-0.00042254,0.918475717,0.796418631,0.699414149,189.1629961
,,0.2,均值,20.89107719,576.1952083,0.368478055,0.073623317,0.002407836,0.072559882,0.371937216,0.801655612,15180.20497,0.278689883,-0.001594287,0.740637882,0.483357053,0.767746182,1940.568938
,,,前项,2.215816721,577.5651042,0.228857591,0.471780438,0.001796663,0.390171212,0.338218863,0.682349205,8757.210806,0.605313147,-0.000221591,0.904357709,0.786797782,0.704812849,286.5311321
,,,后向,2.26209615,571.6521528,0.228223928,0.515499705,0.002426369,0.473679165,0.348846378,0.649717997,8753.396783,0.760731721,-0.000215595,0.930651391,0.822871414,0.708751195,258.7961195
,,,线性,2.093072906,581.6032292,0.22845303,0.512580323,0.00232804,0.443370559,0.333988136,0.628859804,8567.422813,0.659481922,-0.000706322,0.905780088,0.80950334,0.676707583,326.0237415
,,,kalman_struct,3.236192494,567.0436111,0.228221293,0.490222473,0.002364531,0.431133249,0.320325788,0.692690882,8576.954133,0.607973285,-0.001110309,0.92856025,0.754436076,0.778682892,334.4428411
,,,kalman_arima,19.33526418,570.7133681,0.306498109,0.052478305,0.002072964,0.034957827,0.361266515,0.808226558,13297.27971,0.378980029,-0.000195921,0.740028469,0.528201538,0.7363045,1755.395552
,,,gp_rbf,2.911470588,559.8386458,0.22722704,0.340013302,0.002457504,0.291041073,0.320897747,0.675774841,9002.594394,0.63066812,-0.001618759,0.903320111,0.735453732,0.720341135,251.4187212
,,,saits,3.021636318,578.2523264,0.233031192,0.337034729,0.001831178,0.267874293,0.343188595,0.696326778,9159.374594,0.598823355,-0.000593875,0.871950841,0.726884533,0.693691003,242.2119887
,,0.3,均值,30.57569671,595.5952083,0.449761556,0.068129587,0.002251271,0.114916513,0.460062631,0.810165949,15570.92131,0.31661156,-0.003718306,0.761503055,0.569249994,0.754830563,2044.317378
,,,前项,4.714675225,599.4152778,0.229409926,0.471916795,0.001451133,0.39839634,0.367338198,0.70530297,8637.659253,0.610751287,-0.000996343,0.910651389,0.839941419,0.738396268,279.1708418
,,,后向,4.706945331,555.6691319,0.226307119,0.508567635,0.002557608,0.399792619,0.349727872,0.723021298,8669.278402,0.60717157,-0.003138372,0.899127063,0.845084756,0.76075557,311.3962788
,,,线性,4.728216835,567.0386806,0.228404914,0.515208792,0.002326385,0.440863383,0.348104961,0.672875969,8467.595563,0.658265042,-0.002821416,0.877822379,0.85297531,0.663035885,230.6822428
,,,kalman_struct,7.744651239,594.1925694,0.228225088,0.491155237,0.002083959,0.447082521,0.328000734,0.724728734,8477.614661,0.667603994,-0.002689963,0.915930216,0.859646911,0.807964422,286.6865112
