model,dataset,metric,n,pearson,spearman,pearson_abs,spearman_abs,pearson_strength,spearman_strength
visiontspp,Supply_Chain_Location_D,spectral_entropy,36,0.44730913932088334,0.40797940797940796,0.44730913932088334,0.40797940797940796,moderate,moderate
visiontspp,Water_Quality_Darwin_15T,spectral_entropy,192,-0.1269756148474713,-0.12238728535387788,0.1269756148474713,0.12238728535387788,none,none
visiontspp,current_velocity_15T,spectral_entropy,180,0.16676283428440547,0.08507464222146775,0.16676283428440547,0.08507464222146775,none,none
visiontspp,current_velocity_20T,spectral_entropy,168,0.029816920852825175,0.0834577674743497,0.029816920852825175,0.0834577674743497,none,none
visiontspp,current_velocity_5T,spectral_entropy,240,-0.11312073805800786,-0.2330318234691574,0.11312073805800786,0.2330318234691574,none,weak
visiontspp,current_velocity_H,spectral_entropy,60,0.2459192780205666,0.17515976660183388,0.2459192780205666,0.17515976660183388,weak,none
visiontspp,electricity,spectral_entropy,240,0.21333367668128966,0.08582440667372697,0.21333367668128966,0.08582440667372697,weak,none
visiontspp,exchange_rate,spectral_entropy,132,-0.03828701152777509,-0.016216808502867157,0.03828701152777509,0.016216808502867157,none,none
visiontspp,traffic,spectral_entropy,180,0.05942809914465803,0.08700680062141836,0.05942809914465803,0.08700680062141836,none,none
visiontspp,weather,spectral_entropy,240,-0.17689511982554001,-0.1931691522422264,0.17689511982554001,0.1931691522422264,none,none
visiontspp,Australia_Solar_H,trend_linearity,240,-0.13252871509931383,-0.11864876126321637,0.13252871509931383,0.11864876126321637,none,none
visiontspp,Coastal_T_S_15T,trend_linearity,240,0.01486890804269464,-0.03290508515772843,0.01486890804269464,0.03290508515772843,none,none
visiontspp,Coastal_T_S_20T,trend_linearity,84,0.4815610106460645,0.28476257973068747,0.4815610106460645,0.28476257973068747,moderate,weak
visiontspp,Coastal_T_S_5T,trend_linearity,240,-0.025160289597439642,-0.06468775499574643,0.025160289597439642,0.06468775499574643,none,none
visiontspp,Coastal_T_S_H,trend_linearity,96,-0.0004359905787170053,0.061720021703743896,0.0004359905787170053,0.061720021703743896,none,none
visiontspp,ETTh1,trend_linearity,180,0.032269672625896556,0.013743222527444263,0.032269672625896556,0.013743222527444263,none,none
visiontspp,ETTh2,trend_linearity,180,-0.1634747931213604,-0.12287416278280194,0.1634747931213604,0.12287416278280194,none,none
visiontspp,EWELD_Load_15T,trend_linearity,216,0.12666583703104434,0.09878302909060598,0.12666583703104434,0.09878302909060598,none,none
visiontspp,Finland_Traffic_15T,trend_linearity,240,-0.02737343586480914,0.002547787287973749,0.02737343586480914,0.002547787287973749,none,none
visiontspp,NE_China_Wind_H,trend_linearity,96,0.2887802006572079,-0.0387683125339121,0.2887802006572079,0.0387683125339121,weak,none
visiontspp,OpenElectricity_NEM_5T,trend_linearity,240,-0.1269112374109843,-0.11427715758954145,0.1269112374109843,0.11427715758954145,none,none
visiontspp,Port_Activity_D,trend_linearity,36,0.223693360532481,0.03466494845360824,0.223693360532481,0.03466494845360824,weak,none
visiontspp,Supply_Chain_Customer_D,trend_linearity,36,-0.31358558625225946,-0.42393822393822395,0.31358558625225946,0.42393822393822395,weak,moderate
visiontspp,Supply_Chain_Location_D,trend_linearity,36,-0.5575389390141747,-0.34620334620334625,0.5575389390141747,0.34620334620334625,moderate,weak
visiontspp,Water_Quality_Darwin_15T,trend_linearity,192,0.06436588556178623,0.10858109757751676,0.06436588556178623,0.10858109757751676,none,none
visiontspp,current_velocity_15T,trend_linearity,180,0.02098710997775041,0.14580285399755136,0.02098710997775041,0.14580285399755136,none,none
visiontspp,current_velocity_20T,trend_linearity,168,0.11199419395580781,0.12091961470128215,0.11199419395580781,0.12091961470128215,none,none
visiontspp,current_velocity_5T,trend_linearity,240,0.12218993483003926,0.07019653118977759,0.12218993483003926,0.07019653118977759,none,none
visiontspp,current_velocity_H,trend_linearity,60,-0.2200857143496095,-0.2930814115031954,0.2200857143496095,0.2930814115031954,weak,weak
visiontspp,electricity,trend_linearity,240,-0.09770464978205773,-0.13462733728016107,0.09770464978205773,0.13462733728016107,none,none
visiontspp,exchange_rate,trend_linearity,132,0.1510339139080388,0.0807761944764757,0.1510339139080388,0.0807761944764757,none,none
visiontspp,traffic,trend_linearity,180,-0.021537286924798452,-0.018846260687058244,0.021537286924798452,0.018846260687058244,none,none
visiontspp,weather,trend_linearity,240,-0.15226665590632998,-0.14798434000590285,0.15226665590632998,0.14798434000590285,none,none
visiontspp,Australia_Solar_H,trend_strength,240,0.16309582554402724,0.11889184684019247,0.16309582554402724,0.11889184684019247,none,none
visiontspp,Coastal_T_S_15T,trend_strength,240,0.04458004272789664,0.014289310578308647,0.04458004272789664,0.014289310578308647,none,none
visiontspp,Coastal_T_S_20T,trend_strength,84,-0.07122970218855192,-0.02215247544801053,0.07122970218855192,0.02215247544801053,none,none
visiontspp,Coastal_T_S_5T,trend_strength,240,-0.05910139191566982,-0.07364588973539483,0.05910139191566982,0.07364588973539483,none,none
visiontspp,Coastal_T_S_H,trend_strength,96,-0.2671908186580548,0.003391209983722192,0.2671908186580548,0.003391209983722192,weak,none
visiontspp,ETTh1,trend_strength,180,0.05922829227924183,0.11894630275919038,0.05922829227924183,0.11894630275919038,none,none
visiontspp,ETTh2,trend_strength,180,-0.059022858474243926,-0.08799654310318218,0.059022858474243926,0.08799654310318218,none,none
visiontspp,EWELD_Load_15T,trend_strength,216,-0.0570943754666112,-0.0767894354541016,0.0570943754666112,0.0767894354541016,none,none
visiontspp,Finland_Traffic_15T,trend_strength,240,0.10522929073440739,0.1494531155054775,0.10522929073440739,0.1494531155054775,none,none
visiontspp,NE_China_Wind_H,trend_strength,96,0.011037203810194091,-0.13509224091155725,0.011037203810194091,0.13509224091155725,none,none
visiontspp,OpenElectricity_NEM_5T,trend_strength,240,-0.04666334539742781,-0.03748764626454209,0.04666334539742781,0.03748764626454209,none,none
